# pos	patient1-5371622	patient2-5371623	patient3-5371624	patient4-5371625	patient5-5371626	patient6-5371627	patient7-5371628	patient8-5371629	patient9-5371630	patient10-5371631	patient11-5371632	patient12-5371633	patient13-5371634	patient14-5371635	patient15-5371636	patient16-5371637	patient17-5371638	patient18-5371639	patient19-5371640	patient20-5371641	patient21-5371642	patient22-5371643	patient23-5371644	patient24-5371645
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	2	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	2	0	0	0	0	0
2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	2	0	0	0	0	0
3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	2	0	0	0	0	0
4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	2	0	0	0	0	0
5	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	2	0	0	0	0	0
6	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	2	0	0	0	0	0
7	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	9	0	2	0	21	0	4	0
8	2	2	0	0	0	0	0	0	24	7	5	1	0	0	0	0	9	0	2	0	21	0	4	0
9	2	2	0	0	0	0	0	0	24	7	5	1	0	0	0	0	9	0	2	0	21	0	4	0
10	2	2	0	0	0	0	0	0	24	7	5	1	0	0	0	0	9	0	2	2	21	0	4	0
11	2	2	0	0	0	0	0	0	24	7	5	1	0	0	0	0	9	7	2	2	21	0	4	0
12	2	2	0	0	0	0	0	0	44	7	11	1	0	0	0	0	9	7	2	2	21	0	4	0
13	2	2	0	2	0	0	0	0	44	7	11	2	0	10	7	27	9	7	3	2	21	0	6	2
14	19	7	5	5	0	0	0	0	73	15	16	4	49	69	32	38	32	22	6	3	115	57	11	17
15	20	10	5	5	0	0	0	0	74	16	19	9	49	69	32	38	32	22	7	3	117	57	11	17
16	64	44	14	16	0	0	0	0	115	19	27	12	230	69	51	38	119	36	11	8	204	137	19	35
17	216	108	38	40	1	0	0	0	161	30	35	13	313	69	67	38	213	56	26	16	239	219	29	62
18	491	172	75	61	31	0	1	0	450	103	104	43	394	69	89	44	554	128	69	41	476	322	55	79
19	1360	500	258	166	244	42	26	5	2313	474	575	253	421	321	122	118	900	252	146	74	814	624	130	157
20	1379	504	260	167	244	47	26	5	2332	476	577	254	431	371	123	127	909	263	149	74	820	624	132	157
21	1388	507	263	168	266	49	35	16	2349	476	580	254	436	374	124	128	915	263	158	74	825	631	137	157
22	1436	515	272	169	274	49	37	16	2382	479	583	254	453	378	127	128	928	266	165	77	836	639	139	157
23	1450	516	277	169	301	49	37	16	2427	497	586	254	455	379	127	128	932	266	165	77	840	639	141	157
24	1468	524	283	172	351	50	43	17	2446	507	594	264	463	382	127	128	976	269	175	79	846	660	143	161
25	1472	533	283	173	378	53	47	17	2456	507	594	264	464	382	127	128	977	271	175	79	846	662	143	161
26	1497	540	287	176	380	60	47	18	2485	522	597	266	475	385	127	128	998	300	175	80	851	666	144	163
27	1506	541	287	176	383	61	47	18	2493	543	599	267	477	386	127	128	1003	300	175	80	859	669	144	163
28	1510	541	287	176	383	64	47	18	2509	545	601	267	478	387	127	128	1006	300	175	80	862	669	146	163
29	1515	548	289	177	384	64	47	18	2527	563	606	271	480	387	127	128	1017	303	177	81	865	670	146	163
30	1521	559	291	177	386	64	47	18	2534	563	606	271	481	387	127	128	1025	304	177	81	875	691	149	167
31	1533	567	291	179	430	84	53	25	2567	564	617	273	481	387	127	128	1044	305	180	81	877	691	149	167
32	1537	569	295	179	479	85	57	25	2567	564	617	273	484	388	127	128	1047	306	181	82	901	692	154	167
33	1572	574	302	182	482	89	57	25	2567	564	617	273	485	388	127	128	1051	314	181	84	903	693	154	167
34	1616	585	307	184	482	89	57	25	2666	593	642	276	488	388	127	128	1088	327	186	85	922	694	157	167
35	1644	589	312	184	482	89	57	25	2762	618	654	290	489	388	127	128	1093	328	190	85	924	695	158	167
36	1664	598	319	184	482	89	57	25	2777	627	655	292	489	388	129	128	1106	328	194	85	928	696	158	168
37	1679	598	323	184	482	89	57	25	2809	630	657	293	491	388	129	128	1113	328	195	85	928	696	159	168
38	1686	598	325	184	502	89	59	25	2812	630	658	293	491	389	129	128	1114	328	195	85	929	696	160	168
39	1742	650	343	194	505	96	65	34	2923	673	685	308	492	389	129	128	1133	328	205	86	930	697	160	168
40	1747	650	344	194	505	96	65	34	2948	673	690	309	492	389	129	128	1133	328	205	86	931	698	160	168
41	1750	652	345	194	506	96	65	34	2954	679	692	312	493	389	130	128	1157	359	208	89	931	698	161	168
42	1751	652	345	194	506	96	65	34	2955	683	692	312	493	389	130	128	1158	360	208	89	931	698	161	168
